Rank in 2020,Institution Name,Country,Overall Score
199,Vanderbilt University,United States,44
202,Waseda University,Japan,43.7
203,Sapienza - Universit‡ di Roma,Italy,43.5
204,Scuola Normale Superiore di Pisa,Italy,43.4
205,University of Reading,United Kingdom,43.3
206,University of Colorado at Boulder,United States,43.2
207,Al-Farabi Kazakh National University,Kazakhstan,43.1
207,Dartmouth College,United States,43.1
207,University of Newcastle,Australia,43.1
210,University of Notre Dame,United States,42.9
211,Western University,Canada,42.8
212,Universidad Complutense de Madrid (UCM),Spain,42.7
212,University of Wollongong,Australia,42.7
214,Universidade Estadual de Campinas (Unicamp),Brazil,42.1
215,Arizona State University,United States,42
215,Victoria University of Wellington,New Zealand,42
217,Radboud University Nijmegen,Netherlands,41.4
217,Universiti Teknologi Malaysia (UTM),Malaysia,41.4
219,Tel Aviv University,Israel,41.3
219,"University of California, Irvine (UCI)",United States,41.3
219,Vrije Universiteit Amsterdam,Netherlands,41.3
222,Loughborough University,United Kingdom,41.2
223,University of Antwerp,Belgium,40.9
224,Queensland University of Technology (QUT),Australia,40.7
224,TELECOM ParisTech,France,40.7
226,National Cheng Kung University,Taiwan,40.4
227,Georgetown University,United States,40.1
228,National Chiao Tung University,Taiwan,40
228,Universit‰t Hamburg,Germany,40
228,University of Canterbury,New Zealand,40
231,Curtin University,Australia,39.9
232,Novosibirsk State University,Russia,39.8
232,"University of Illinois, Chicago (UIC)",United States,39.8
234,University of Calgary,Canada,39.7
235,Saint-Petersburg State University,Russia,39.6
235,Universidad de Los Andes Colombia,Colombia,39.6
235,Universit‡ degli Studi di Padova (UNIPD),Italy,39.6
238,Macquarie University,Australia,39.5
239,RMIT University,Australia,39.2
240,Maastricht University,Netherlands,39
240,Queen's University,Canada,39
240,University of Leicester,United Kingdom,39
243,Sciences Po Paris,France,38.9
244,Rheinische Friedrich-Wilhelms-Universit‰t Bonn,Germany,38.8
245,American University of Beirut (AUB),Lebanon,38.7
246,Universidad de Navarra,Spain,38.5
247,University of Sussex,United Kingdom,38.4
248,Chulalongkorn University,Thailand,38.3
248,Kyung Hee University,South Korea,38.3
250,Ecole des Ponts ParisTech,France,37.8
251,National Taiwan University of Science and Technology,Taiwan,37.6
251,UniversitÈ Libre de Bruxelles (ULB),Belgium,37.6
253,Tufts University,United States,37.5
253,Universidad Nacional de Colombia,Colombia,37.5
253,University of Paris,France,37.5
256,University of Gothenburg,Sweden,37.3
257,Technion - Israel Institute of Technology,Israel,37.2
257,Wuhan University,China,37.2
259,"National University of Ireland, Galway (NUIG)",Ireland,37.1
260,Technische Universit‰t Darmstadt,Germany,37
261,Hong Kong Baptist University (HKBU),Hong Kong,36.9
262,"Rutgers - The State University of New Jersey, New Brunswick",United States,36.8
262,UniversitÈ Paris-Sud 11,France,36.8
262,University of Arizona,United States,36.8
265,Tongji University,China,36.7
266,Universit‰t Innsbruck,Austria,36.6
266,University of Waikato,New Zealand,36.6
268,Khalifa University,United Arab Emirates,36.5
268,Tomsk State University,Russia,36.5
270,University of Tsukuba,Japan,36.3
271,Deakin University,Australia,36.1
271,Indian Institute of Technology Madras (IITM),India,36.1
271,University of Miami,United States,36.1
274,University of South Australia (UniSA),Australia,35.9
274,University of Surrey,United Kingdom,35.9
276,Qatar University,Qatar,35.8
277,Beijing Normal University,China,35.7
277,Harbin Institute of Technology,China,35.7
279,Universit‰t Stuttgart,Germany,35.6
280,Dalhousie University,Canada,35.4
281,Indian Institute of Technology Kharagpur (IITKGP),India,35.2
281,King Saud University (KSU),Saudi Arabia,35.2
281,University of Ottawa,Canada,35.2
284,Bauman Moscow State Technical University,Russia,35.1
285,North Carolina State University,United States,35
285,Universitat Pompeu Fabra,Spain,35
287,Massey University,New Zealand,34.9
287,National Yang Ming University,Taiwan,34.9
287,Sun Yat-sen University,China,34.9
287,University of Turku,Finland,34.9
291,Charles University,Czech Republic,34.8
291,Indian Institute of Technology Kanpur (IITK),India,34.8
